Year,Day,Month,cap_doy,ID,sl,radius,Final.Age,hdate,cap_DATE,cap_DATE_noYear,cap_doy_corr,Increment,IW,hatch_DATE,hatch_DATE_noYear,age_DATE,age_DATE_noYear,HW
2007,21,7,202,748,44,337,109,93,7/21/2007,21-Jul,202,5,1.312,4/3/2007,3-Apr,4/8/2007,8-Apr,pre
2007,21,7,202,750,47,333,98,104,7/21/2007,21-Jul,202,5,1.125,4/14/2007,14-Apr,4/19/2007,19-Apr,pre
2007,21,7,202,751,40,256,88,114,7/21/2007,21-Jul,202,5,1.625,4/24/2007,24-Apr,4/29/2007,29-Apr,pre
2007,21,7,202,752,48,315,111,91,7/21/2007,21-Jul,202,5,2.185,4/1/2007,1-Apr,4/6/2007,6-Apr,pre
2007,21,7,202,753,43,310,100,102,7/21/2007,21-Jul,202,5,1.119,4/12/2007,12-Apr,4/17/2007,17-Apr,pre
2007,21,7,202,756,43,295,106,96,7/21/2007,21-Jul,202,5,1.41,4/6/2007,6-Apr,4/11/2007,11-Apr,pre
2007,21,7,202,757,46,287,96,106,7/21/2007,21-Jul,202,5,0.873,4/16/2007,16-Apr,4/21/2007,21-Apr,pre
2007,21,7,202,758,44,272,104,98,7/21/2007,21-Jul,202,5,1.527,4/8/2007,8-Apr,4/13/2007,13-Apr,pre
2007,21,7,202,759,42,271,82,120,7/21/2007,21-Jul,202,5,1.221,4/30/2007,30-Apr,5/5/2007,5-May,pre
2007,21,7,202,760,41,265,88,114,7/21/2007,21-Jul,202,5,1.388,4/24/2007,24-Apr,4/29/2007,29-Apr,pre
2007,21,7,202,761,44,265,96,106,7/21/2007,21-Jul,202,5,1.23,4/16/2007,16-Apr,4/21/2007,21-Apr,pre
2007,21,7,202,762,41,280,93,109,7/21/2007,21-Jul,202,5,1.506,4/19/2007,19-Apr,4/24/2007,24-Apr,pre
2007,21,7,202,763,40,299,88,114,7/21/2007,21-Jul,202,5,1.099,4/24/2007,24-Apr,4/29/2007,29-Apr,pre
2007,21,7,202,764,40,282,91,111,7/21/2007,21-Jul,202,5,1.272,4/21/2007,21-Apr,4/26/2007,26-Apr,pre
2007,21,7,202,765,41,280,82,120,7/21/2007,21-Jul,202,5,1.154,4/30/2007,30-Apr,5/5/2007,5-May,pre
2007,21,7,202,766,47,350,111,91,7/21/2007,21-Jul,202,5,1.009,4/1/2007,1-Apr,4/6/2007,6-Apr,pre
2007,21,7,202,767,40,265,96,106,7/21/2007,21-Jul,202,5,1.097,4/16/2007,16-Apr,4/21/2007,21-Apr,pre
2007,21,7,202,768,45,310,97,105,7/21/2007,21-Jul,202,5,1.463,4/15/2007,15-Apr,4/20/2007,20-Apr,pre
2007,21,7,202,769,45,310,108,94,7/21/2007,21-Jul,202,5,1.173,4/4/2007,4-Apr,4/9/2007,9-Apr,pre
