Year,ID,days.to.hatch,Avg.incu.temp,hdate,hatch_DATE_noYear
2018,2034,17,6.163039921,60,1-Mar
2018,2035,19,5.664142499,86,27-Mar
2018,2036,18,6.045973404,66,7-Mar
2018,2037,18,6.067785843,65,6-Mar
2018,2038,18,6.067785843,65,6-Mar
2018,2039,19,5.67870102,85,26-Mar
2018,2040,19,5.80019935,78,19-Mar
2018,2041,18,5.979820614,69,10-Mar
2018,2042,19,5.780937705,79,20-Mar
2018,2043,19,5.80019935,78,19-Mar
2018,2044,18,5.913914739,72,13-Mar
2018,2045,17,6.239749855,56,25-Feb
2013,2046,21,5.13584637,113,23-Apr
2013,2047,21,5.115065456,119,29-Apr
2013,2048,21,5.147017046,110,20-Apr
2013,2049,21,5.115065456,119,29-Apr
2013,2050,21,5.165971982,105,15-Apr
2013,2051,21,5.15459181,108,18-Apr
2013,2052,21,5.128629136,115,25-Apr
2013,2053,21,5.165971982,105,15-Apr
2013,2054,21,5.15459181,108,18-Apr
2013,2055,21,5.150797469,109,19-Apr
2013,2056,21,5.105937255,122,2-May
2013,2057,21,5.165971982,105,15-Apr
2013,2058,21,5.184415364,100,10-Apr
2013,2059,21,5.125115991,116,26-Apr
2013,2060,21,5.13584637,113,23-Apr
2013,2061,21,5.139532751,112,22-Apr
2013,2062,21,5.147017046,110,20-Apr
2013,2063,21,5.184415364,100,10-Apr
2013,2064,21,5.162187666,106,16-Apr
2013,2065,21,5.132208886,114,24-Apr
2013,2066,21,5.118325188,118,28-Apr
2013,2067,21,5.158391415,107,17-Apr
2013,2068,21,5.207345095,93,3-Apr
2013,2069,21,5.13584637,113,23-Apr
2013,2070,21,5.191410051,98,8-Apr
2013,2071,21,5.125115991,116,26-Apr
2013,2072,21,5.177167831,102,12-Apr
2013,2073,21,5.236741977,80,21-Mar
2013,2074,21,5.165971982,105,15-Apr
2013,2075,21,5.158391415,107,17-Apr
2013,2076,21,5.125115991,116,26-Apr
2013,2077,21,5.180818931,101,11-Apr
2013,2078,21,5.125115991,116,26-Apr
2013,2079,21,5.194791214,97,7-Apr
2009,208,24,4.535895519,127,7-May
2013,2080,21,5.236741977,80,21-Mar
2013,2081,21,5.173470609,103,13-Apr
2013,2082,21,5.162187666,106,16-Apr
2013,2083,21,5.165971982,105,15-Apr
