Date,TridentTemp,Month,Year
6/3/2014,7.471666667,6,2014
6/4/2014,7.576666667,6,2014
6/5/2014,7.68375,6,2014
6/6/2014,7.667916667,6,2014
6/7/2014,7.690416667,6,2014
6/8/2014,7.757083333,6,2014
6/9/2014,7.787083333,6,2014
6/10/2014,7.934583333,6,2014
6/11/2014,8.090416667,6,2014
6/12/2014,8.190833333,6,2014
6/13/2014,8.229583333,6,2014
6/14/2014,8.32,6,2014
6/15/2014,8.394583333,6,2014
6/16/2014,8.367083333,6,2014
6/17/2014,8.355833333,6,2014
6/18/2014,8.321666667,6,2014
6/19/2014,8.314166667,6,2014
6/20/2014,8.415833333,6,2014
6/21/2014,8.454583333,6,2014
6/22/2014,8.49125,6,2014
6/23/2014,8.51875,6,2014
6/24/2014,8.714583333,6,2014
6/25/2014,8.794166667,6,2014
6/26/2014,8.862083333,6,2014
6/27/2014,8.974583333,6,2014
6/28/2014,8.963333333,6,2014
6/29/2014,9.051666667,6,2014
6/30/2014,9.16625,6,2014
7/1/2014,9.255833333,7,2014
7/2/2014,9.346666667,7,2014
7/3/2014,9.357083333,7,2014
7/4/2014,9.409166667,7,2014
7/5/2014,9.398333333,7,2014
7/6/2014,9.682916667,7,2014
7/7/2014,9.944166667,7,2014
7/8/2014,10.04541667,7,2014
7/9/2014,9.97625,7,2014
7/10/2014,10.09416667,7,2014
7/11/2014,9.766666667,7,2014
7/12/2014,9.61,7,2014
7/13/2014,9.520416667,7,2014
7/14/2014,9.448333333,7,2014
7/15/2014,9.327916667,7,2014
7/16/2014,9.315833333,7,2014
7/17/2014,9.37,7,2014
7/18/2014,9.501666667,7,2014
7/19/2014,9.672916667,7,2014
7/20/2014,9.838333333,7,2014
7/21/2014,10.07875,7,2014
7/22/2014,10.28125,7,2014
7/23/2014,10.39,7,2014
7/24/2014,10.54083333,7,2014
7/25/2014,10.70458333,7,2014
7/26/2014,10.68875,7,2014
7/27/2014,10.66791667,7,2014
7/28/2014,10.60375,7,2014
7/29/2014,10.53666667,7,2014
7/30/2014,10.57666667,7,2014
7/31/2014,10.54208333,7,2014
8/1/2014,10.71541667,8,2014
8/2/2014,10.765,8,2014
8/3/2014,10.83625,8,2014
8/4/2014,11.12,8,2014
8/5/2014,11.30291667,8,2014
8/6/2014,11.41416667,8,2014
8/7/2014,11.57583333,8,2014
8/8/2014,11.85958333,8,2014
8/9/2014,11.80583333,8,2014
8/10/2014,11.68208333,8,2014
8/11/2014,11.44875,8,2014
8/12/2014,11.35666667,8,2014
8/13/2014,11.28083333,8,2014
8/14/2014,11.245,8,2014
8/15/2014,11.14166667,8,2014
8/16/2014,11.11208333,8,2014
8/17/2014,11.08541667,8,2014
8/18/2014,10.84041667,8,2014
8/19/2014,10.92083333,8,2014
8/20/2014,11.07583333,8,2014
8/21/2014,11.1275,8,2014
8/22/2014,11.10458333,8,2014
8/23/2014,11.09333333,8,2014
8/24/2014,11.24666667,8,2014
8/25/2014,10.96375,8,2014
8/26/2014,10.7,8,2014
8/27/2014,10.58333333,8,2014
8/28/2014,10.44958333,8,2014
8/29/2014,10.29791667,8,2014
8/30/2014,10.20958333,8,2014
8/31/2014,10.22791667,8,2014
9/1/2014,10.27791667,9,2014
9/2/2014,10.34333333,9,2014
9/3/2014,10.46375,9,2014
9/4/2014,10.47,9,2014
9/5/2014,10.55208333,9,2014
9/6/2014,10.67791667,9,2014
9/7/2014,10.755,9,2014
9/8/2014,10.765,9,2014
9/9/2014,10.67708333,9,2014
9/10/2014,10.58916667,9,2014
9/11/2014,10.57791667,9,2014
9/12/2014,10.53,9,2014
9/13/2014,10.49,9,2014
9/14/2014,10.46333333,9,2014
9/15/2014,10.47,9,2014
9/16/2014,10.4025,9,2014
9/17/2014,10.39666667,9,2014
9/18/2014,10.38416667,9,2014
9/19/2014,10.31,9,2014
9/20/2014,10.36083333,9,2014
9/21/2014,10.46333333,9,2014
9/22/2014,10.40375,9,2014
9/23/2014,10.33458333,9,2014
9/24/2014,10.3075,9,2014
9/25/2014,10.24833333,9,2014
9/26/2014,10.23791667,9,2014
9/27/2014,10.15541667,9,2014
9/28/2014,10.08,9,2014
9/29/2014,9.985,9,2014
9/30/2014,9.81875,9,2014
10/1/2014,9.7475,10,2014
10/2/2014,9.733333333,10,2014
10/3/2014,9.641666667,10,2014
10/4/2014,9.58875,10,2014
10/5/2014,9.420833333,10,2014
10/6/2014,9.182916667,10,2014
10/7/2014,9.090416667,10,2014
10/8/2014,9.034166667,10,2014
10/9/2014,8.926666667,10,2014
10/10/2014,8.892916667,10,2014
10/11/2014,8.853333333,10,2014
10/12/2014,8.729166667,10,2014
10/13/2014,8.589166667,10,2014
10/14/2014,8.455,10,2014
10/15/2014,8.349583333,10,2014
10/16/2014,8.395416667,10,2014
10/17/2014,8.37375,10,2014
