Year,ID,SL_mm,cap_DATE_noyr,cap_doy_corr,Final.Age,Yearf
2012,978,52.9,14-Jul,196,122,2012
2012,979,45.7,14-Jul,196,109,2012
2012,981,33.7,14-Jul,196,94,2012
2012,983,42.5,14-Jul,196,108,2012
2012,984,39.6,13-Jul,195,97,2012
2012,985,38.1,13-Jul,195,96,2012
2012,986,39.8,13-Jul,195,110,2012
2012,987,39.1,13-Jul,195,102,2012
2012,988,40.9,13-Jul,195,108,2012
2012,989,38.6,13-Jul,195,107,2012
2012,990,36.5,13-Jul,195,94,2012
2012,991,41.8,13-Jul,195,111,2012
2012,992,40.3,13-Jul,195,102,2012
2012,993,41.6,13-Jul,195,100,2012
2012,994,35.2,13-Jul,195,86,2012
2012,996,39.4,13-Jul,195,103,2012
2012,998,33.5,13-Jul,195,98,2012
2012,999,35.1,13-Jul,195,99,2012
2012,1001,48.7,13-Jul,195,112,2012
2012,1002,37.9,13-Jul,195,97,2012
2012,1003,41.6,13-Jul,195,104,2012
2012,1006,45.2,13-Jul,195,119,2012
2012,1007,37.2,13-Jul,195,101,2012
2012,1009,38.9,13-Jul,195,102,2012
2012,1010,41.9,13-Jul,195,110,2012
2012,1013,36.1,13-Jul,195,106,2012
2018,2001,71,18-Jul,199,142,2018
2018,2005,74,18-Jul,199,148,2018
2018,2006,86,18-Jul,199,170,2018
2018,2007,87,18-Jul,199,147,2018
2018,2010,62,18-Jul,199,135,2018
2018,2011,50,17-Jul,198,112,2018
2018,2016,56,17-Jul,198,134,2018
2018,2017,65,15-Jul,196,135,2018
2018,2019,54,15-Jul,196,128,2018
2018,2021,58,15-Jul,196,127,2018
2018,2025,85,15-Jul,196,144,2018
2018,2026,82,18-Jul,199,139,2018
2018,2028,78,18-Jul,199,136,2018
2018,2029,95,18-Jul,199,168,2018
2018,2031,83,18-Jul,199,150,2018
2018,2034,67,18-Jul,199,139,2018
2018,2038,64,15-Jul,196,131,2018
2018,2042,50,15-Jul,196,117,2018
2018,2043,56,15-Jul,196,118,2018
2018,2045,70,15-Jul,196,140,2018
2013,2046,42,23-Jul,204,91,2013
2013,2047,43,23-Jul,204,85,2013
2013,2048,46,23-Jul,204,94,2013
2013,2049,41,23-Jul,204,85,2013
2013,2055,46,23-Jul,204,95,2013
2013,2059,51,25-Jul,206,90,2013
2013,2060,51,25-Jul,206,93,2013
2013,2061,48,25-Jul,206,94,2013
2013,2064,48,25-Jul,206,100,2013
2013,2066,49,24-Jul,205,87,2013
2013,2068,61,25-Jul,206,113,2013
2013,2069,48,25-Jul,206,93,2013
2013,2070,49,25-Jul,206,108,2013
2013,2071,47,25-Jul,206,90,2013
2013,2073,56,25-Jul,206,126,2013
2013,2077,50,24-Jul,205,104,2013
2013,2079,55,24-Jul,205,108,2013
2013,2080,66,24-Jul,205,125,2013
2013,2083,53,24-Jul,205,100,2013
2015,2127,46,12-Jul,193,108,2015
2015,2128,50,16-Jul,197,98,2015
2015,2129,41,12-Jul,193,79,2015
2014,2130,57,19-Jul,200,121,2014
2014,2138,55,16-Jul,197,123,2014
2014,2139,53,16-Jul,197,121,2014
2014,2140,55,16-Jul,197,118,2014
2014,2141,56,16-Jul,197,119,2014
2014,2143,46,16-Jul,197,113,2014
2014,2144,60,16-Jul,197,132,2014
2014,2147,55,16-Jul,197,118,2014
2014,2148,55,16-Jul,197,129,2014
2014,2150,48,16-Jul,197,96,2014
2014,2152,48,16-Jul,197,111,2014
2014,2154,52,16-Jul,197,125,2014
2014,2155,35,14-Jul,195,87,2014
2014,2156,48,14-Jul,195,120,2014
2014,2158,61,14-Jul,195,130,2014
2014,2159,58,16-Jul,197,119,2014
2014,2164,53,16-Jul,197,120,2014
2014,2165,50,16-Jul,197,112,2014
2014,2166,48,16-Jul,197,116,2014
2014,2167,39,16-Jul,197,100,2014
2016,2232,70,15-Jul,197,115,2016
2016,2234,64,15-Jul,197,122,2016
2016,2235,60,15-Jul,197,105,2016
2016,2240,63,15-Jul,197,118,2016
