Year,ID,sl,radius,Increment,IW,Final.Age,bcSL,bc_gr,hdate,hatch_DATE,hatch_DATE_noYear,age_DATE,age_DATE_noYear,HW
2007,772,44,298,3,0.927,99,4.309150688,0.128304224,103,4/13/2007,13-Apr,4/16/2007,16-Apr,pre
2007,773,44,295,3,1.671,94,4.699961317,0.23369987,108,4/18/2007,18-Apr,4/21/2007,21-Apr,pre
2007,774,41,264,3,1.687,94,4.567953765,0.244748931,108,4/18/2007,18-Apr,4/21/2007,21-Apr,pre
2007,775,43,292,3,1.228,101,4.412960533,0.169231126,101,4/11/2007,11-Apr,4/14/2007,14-Apr,pre
2007,745,49,366,4,1.193,118,4.55437409,0.150406716,84,3/25/2007,25-Mar,3/29/2007,29-Mar,pre
2007,746,46,360,4,0.744,99,4.371926383,0.089053225,103,4/13/2007,13-Apr,4/17/2007,17-Apr,pre
2007,747,48,360,4,2.18,98,4.773600869,0.273332454,104,4/14/2007,14-Apr,4/18/2007,18-Apr,pre
2007,748,44,337,4,1.502,109,4.529476152,0.18322298,93,4/3/2007,3-Apr,4/7/2007,7-Apr,pre
2007,750,47,333,4,1.184,98,4.58276765,0.157150019,104,4/14/2007,14-Apr,4/18/2007,18-Apr,pre
2007,751,40,256,4,1.541,88,4.79971802,0.224566689,114,4/24/2007,24-Apr,4/28/2007,28-Apr,pre
2007,752,48,315,4,2.261,111,4.984556481,0.325082702,91,4/1/2007,1-Apr,4/5/2007,5-Apr,pre
2007,753,43,310,4,1.229,100,4.524057702,0.159264061,102,4/12/2007,12-Apr,4/16/2007,16-Apr,pre
2007,756,43,295,4,2.276,106,5.19938097,0.310374317,96,4/6/2007,6-Apr,4/10/2007,10-Apr,pre
2007,757,46,287,4,0.933,96,4.396217421,0.140926855,106,4/16/2007,16-Apr,4/20/2007,20-Apr,pre
2007,758,44,272,4,0.896,104,4.521606089,0.136240928,98,4/8/2007,8-Apr,4/12/2007,12-Apr,pre
2007,759,42,271,4,1.753,82,4.678912917,0.254220367,120,4/30/2007,30-Apr,5/4/2007,4-May,pre
2007,760,41,265,4,1.251,88,4.718260195,0.180787288,114,4/24/2007,24-Apr,4/28/2007,28-Apr,pre
2007,761,44,265,4,1.106,96,4.595170487,0.17275832,106,4/16/2007,16-Apr,4/20/2007,20-Apr,pre
2007,762,41,280,4,1.77,93,4.91192712,0.241668517,109,4/19/2007,19-Apr,4/23/2007,23-Apr,pre
2007,763,40,299,4,0.945,88,4.537718913,0.117342539,114,4/24/2007,24-Apr,4/28/2007,28-Apr,pre
2007,764,40,282,4,1.407,91,4.631202689,0.185561555,111,4/21/2007,21-Apr,4/25/2007,25-Apr,pre
2007,765,41,280,4,1.285,82,4.67135089,0.175448612,120,4/30/2007,30-Apr,5/4/2007,4-May,pre
2007,766,47,350,4,0.976,111,4.39357272,0.123097679,91,4/1/2007,1-Apr,4/5/2007,5-Apr,pre
2007,767,40,265,4,0.959,96,4.470596136,0.134853257,106,4/16/2007,16-Apr,4/20/2007,20-Apr,pre
2007,768,45,310,4,1.455,97,4.655256456,0.198196367,105,4/15/2007,15-Apr,4/19/2007,19-Apr,pre
2007,769,45,310,4,1.029,108,4.468093701,0.14016774,94,4/4/2007,4-Apr,4/8/2007,8-Apr,pre
2007,770,42,253,4,1.285,101,4.739243384,0.200058799,101,4/11/2007,11-Apr,4/15/2007,15-Apr,pre
2007,771,48,338,4,1.3,108,4.540777936,0.173872733,94,4/4/2007,4-Apr,4/8/2007,8-Apr,pre
2007,772,44,298,4,0.994,99,4.446728249,0.13757756,103,4/13/2007,13-Apr,4/17/2007,17-Apr,pre
2007,773,44,295,4,1.961,94,4.974219513,0.274258196,108,4/18/2007,18-Apr,4/22/2007,22-Apr,pre
2007,774,41,264,4,2.254,94,4.894962709,0.327008945,108,4/18/2007,18-Apr,4/22/2007,22-Apr,pre
2007,775,43,292,4,1.238,101,4.583569762,0.170609229,101,4/11/2007,11-Apr,4/15/2007,15-Apr,pre
2007,745,49,366,5,1.297,118,4.71789254,0.16351845,84,3/25/2007,25-Mar,3/30/2007,30-Mar,pre
2007,746,46,360,5,1.036,99,4.495930604,0.124004222,103,4/13/2007,13-Apr,4/18/2007,18-Apr,pre
2007,747,48,360,5,1.905,98,5.012453311,0.238852442,104,4/14/2007,14-Apr,4/19/2007,19-Apr,pre
2007,748,44,337,5,1.312,109,4.689521791,0.160045639,93,4/3/2007,3-Apr,4/8/2007,8-Apr,pre
2007,750,47,333,5,1.125,98,4.732086714,0.149319064,104,4/14/2007,14-Apr,4/19/2007,19-Apr,pre
2007,751,40,256,5,1.625,88,5.036525852,0.236807832,114,4/24/2007,24-Apr,4/29/2007,29-Apr,pre
2007,752,48,315,5,2.185,111,5.298712034,0.314155553,91,4/1/2007,1-Apr,4/6/2007,6-Apr,pre
2007,753,43,310,5,1.119,100,4.669067047,0.145009344,102,4/12/2007,12-Apr,4/17/2007,17-Apr,pre
2007,756,43,295,5,1.41,106,5.391660314,0.192279344,96,4/6/2007,6-Apr,4/11/2007,11-Apr,pre
2007,757,46,287,5,0.873,96,4.528081455,0.131864034,106,4/16/2007,16-Apr,4/21/2007,21-Apr,pre
2007,758,44,272,5,1.527,104,4.753793474,0.232187386,98,4/8/2007,8-Apr,4/13/2007,13-Apr,pre
2007,759,42,271,5,1.221,82,4.85598255,0.177069634,120,4/30/2007,30-Apr,5/5/2007,5-May,pre
2007,760,41,265,5,1.388,88,4.918845931,0.200585736,114,4/24/2007,24-Apr,4/29/2007,29-Apr,pre
2007,761,44,265,5,1.23,96,4.787297733,0.192127246,106,4/16/2007,16-Apr,4/21/2007,21-Apr,pre
2007,762,41,280,5,1.506,93,5.117550163,0.205623043,109,4/19/2007,19-Apr,4/24/2007,24-Apr,pre
2007,763,40,299,5,1.099,88,4.674183939,0.136465026,114,4/24/2007,24-Apr,4/29/2007,29-Apr,pre
2007,764,40,282,5,1.272,91,4.79895983,0.167757141,111,4/21/2007,21-Apr,4/26/2007,26-Apr,pre
2007,765,41,280,5,1.154,82,4.828913301,0.157562411,120,4/30/2007,30-Apr,5/5/2007,5-May,pre
2007,766,47,350,5,1.009,111,4.520832513,0.127259793,91,4/1/2007,1-Apr,4/6/2007,6-Apr,pre
2007,767,40,265,5,1.097,96,4.624854763,0.154258627,106,4/16/2007,16-Apr,4/21/2007,21-Apr,pre
2007,768,45,310,5,1.463,97,4.854542563,0.199286107,105,4/15/2007,15-Apr,4/20/2007,20-Apr,pre
2007,769,45,310,5,1.173,108,4.627876752,0.159783051,94,4/4/2007,4-Apr,4/9/2007,9-Apr,pre
2007,770,42,253,5,1.104,101,4.911122694,0.17187931,101,4/11/2007,11-Apr,4/16/2007,16-Apr,pre
2007,771,48,338,5,0.862,108,4.656068933,0.115290997,94,4/4/2007,4-Apr,4/9/2007,9-Apr,pre
2007,772,44,298,5,1.204,99,4.613371491,0.166643242,103,4/13/2007,13-Apr,4/18/2007,18-Apr,pre
2007,773,44,295,5,1.641,94,5.203723694,0.229504181,108,4/18/2007,18-Apr,4/23/2007,23-Apr,pre
2007,774,41,264,5,1.487,94,5.110695762,0.215733053,108,4/18/2007,18-Apr,4/23/2007,23-Apr,pre
2007,775,43,292,5,1.423,101,4.779673909,0.196104147,101,4/11/2007,11-Apr,4/16/2007,16-Apr,pre
2007,745,49,366,6,1.566,118,4.915324994,0.197432454,84,3/25/2007,25-Mar,3/31/2007,31-Mar,pre
2007,746,46,360,6,0.931,99,4.607366831,0.111436226,103,4/13/2007,13-Apr,4/19/2007,19-Apr,pre
2007,747,48,360,6,1.549,98,5.206669812,0.1942165,104,4/14/2007,14-Apr,4/20/2007,20-Apr,pre
2007,748,44,337,6,1.017,109,4.813581559,0.124059768,93,4/3/2007,3-Apr,4/9/2007,9-Apr,pre
2007,750,47,333,6,1.272,98,4.900916802,0.168830088,104,4/14/2007,14-Apr,4/20/2007,20-Apr,pre
2007,751,40,256,6,1.411,88,5.242147914,0.205622062,114,4/24/2007,24-Apr,4/30/2007,30-Apr,pre
2007,752,48,315,6,2.299,111,5.629258311,0.330546277,91,4/1/2007,1-Apr,4/7/2007,7-Apr,pre
2007,753,43,310,6,1.533,100,4.867725961,0.198658914,102,4/12/2007,12-Apr,4/18/2007,18-Apr,pre
2007,756,43,295,6,1.231,106,5.559529727,0.167869413,96,4/6/2007,6-Apr,4/12/2007,12-Apr,pre
2007,757,46,287,6,1.05,96,4.686680809,0.158599354,106,4/16/2007,16-Apr,4/22/2007,22-Apr,pre
2007,758,44,272,6,1.476,104,4.978226075,0.224432601,98,4/8/2007,8-Apr,4/14/2007,14-Apr,pre
2007,759,42,271,6,1.2,82,5.030006761,0.17402421,120,4/30/2007,30-Apr,5/6/2007,6-May,pre
2007,760,41,265,6,1.572,88,5.146022283,0.227176352,114,4/24/2007,24-Apr,4/30/2007,30-Apr,pre
2007,761,44,265,6,0.949,96,4.935532494,0.148234761,106,4/16/2007,16-Apr,4/22/2007,22-Apr,pre
2007,762,41,280,6,1.351,93,5.302010144,0.184459981,109,4/19/2007,19-Apr,4/25/2007,25-Apr,pre
2007,763,40,299,6,1.255,88,4.830019798,0.155835858,114,4/24/2007,24-Apr,4/30/2007,30-Apr,pre
2007,764,40,282,6,1.192,91,4.956166208,0.157206378,111,4/21/2007,21-Apr,4/27/2007,27-Apr,pre
2007,765,41,280,6,1.209,82,4.993985187,0.165071885,120,4/30/2007,30-Apr,5/6/2007,6-May,pre
2007,766,47,350,6,0.889,111,4.632957345,0.112124832,91,4/1/2007,1-Apr,4/7/2007,7-Apr,pre
2007,767,40,265,6,0.948,96,4.758161215,0.133306453,106,4/16/2007,16-Apr,4/22/2007,22-Apr,pre
2007,768,45,310,6,1.096,97,5.003836871,0.149294308,105,4/15/2007,15-Apr,4/21/2007,21-Apr,pre
2007,769,45,310,6,1.218,108,4.793789587,0.165912835,94,4/4/2007,4-Apr,4/10/2007,10-Apr,pre
2007,770,42,253,6,0.974,101,5.062762593,0.151639899,101,4/11/2007,11-Apr,4/17/2007,17-Apr,pre
2007,771,48,338,6,1.408,108,4.844386477,0.188317544,94,4/4/2007,4-Apr,4/10/2007,10-Apr,pre
2007,772,44,298,6,0.992,99,4.750672235,0.137300744,103,4/13/2007,13-Apr,4/19/2007,19-Apr,pre
2007,773,44,295,6,1.671,94,5.437423565,0.23369987,108,4/18/2007,18-Apr,4/24/2007,24-Apr,pre
2007,774,41,264,6,1.809,94,5.373144379,0.262448616,108,4/18/2007,18-Apr,4/24/2007,24-Apr,pre
2007,775,43,292,6,1.265,101,4.954004018,0.174330109,101,4/11/2007,11-Apr,4/17/2007,17-Apr,pre
2007,745,49,366,7,1.379,118,5.089181542,0.173856548,84,3/25/2007,25-Mar,4/1/2007,1-Apr,pre
2007,746,46,360,7,1.177,99,4.748248075,0.140881244,103,4/13/2007,13-Apr,4/20/2007,20-Apr,pre
2007,747,48,360,7,2.026,98,5.460693459,0.254023647,104,4/14/2007,14-Apr,4/21/2007,21-Apr,pre
2007,748,44,337,7,1.313,109,4.973749184,0.160167625,93,4/3/2007,3-Apr,4/10/2007,10-Apr,pre
2007,750,47,333,7,0.887,98,5.018646588,0.117729786,104,4/14/2007,14-Apr,4/21/2007,21-Apr,pre
2007,751,40,256,7,1.37,88,5.441795133,0.199647218,114,4/24/2007,24-Apr,5/1/2007,1-May,pre
2007,752,48,315,7,1.5,111,5.844925739,0.215667427,91,4/1/2007,1-Apr,4/8/2007,8-Apr,pre
2007,753,43,310,7,1.815,100,5.102928785,0.235202824,102,4/12/2007,12-Apr,4/19/2007,19-Apr,pre
2007,756,43,295,7,0.845,106,5.674760965,0.115231238,96,4/6/2007,6-Apr,4/13/2007,13-Apr,pre
2007,757,46,287,7,0.85,96,4.815070763,0.128389953,106,4/16/2007,16-Apr,4/23/2007,23-Apr,pre
2007,758,44,272,7,1.858,104,5.260743536,0.282517461,98,4/8/2007,8-Apr,4/15/2007,15-Apr,pre
2007,759,42,271,7,1.221,82,5.207076394,0.177069634,120,4/30/2007,30-Apr,5/7/2007,7-May,pre
2007,760,41,265,7,1.655,88,5.385193315,0.239171032,114,4/24/2007,24-Apr,5/1/2007,1-May,pre
2007,761,44,265,7,0.82,96,5.063617325,0.128084831,106,4/16/2007,16-Apr,4/23/2007,23-Apr,pre
