,Dates,SplineFit
4779,2/15/2019,7.052358128
4780,2/16/2019,7.056916667
4781,2/17/2019,7.061952111
4782,2/18/2019,7.067397602
4783,2/19/2019,7.073169529
4784,2/20/2019,7.079184282
4785,2/21/2019,7.085358252
4786,2/22/2019,7.091607828
4787,2/23/2019,7.0978494
4788,2/24/2019,7.103999358
4789,2/25/2019,7.109974092
4790,2/26/2019,7.115689992
4791,2/27/2019,7.121063448
4792,2/28/2019,7.126010848
4793,3/1/2019,7.130448585
4794,3/2/2019,7.134293046
4795,3/3/2019,7.137460623
4796,3/4/2019,7.139867705
4797,3/5/2019,7.141430682
4798,3/6/2019,7.142065943
4799,3/7/2019,7.141689879
4800,3/8/2019,7.14021888
4801,3/9/2019,7.137569336
4802,3/10/2019,7.133657636
4803,3/11/2019,7.12840017
4804,3/12/2019,7.121713328
4805,3/13/2019,7.1135135
4806,3/14/2019,7.103717076
4807,3/15/2019,7.092240446
4808,3/16/2019,7.079
4809,3/17/2019,7.063946206
4810,3/18/2019,7.047165846
4811,3/19/2019,7.028779783
4812,3/20/2019,7.008908876
4813,3/21/2019,6.987673986
4814,3/22/2019,6.965195976
4815,3/23/2019,6.941595706
4816,3/24/2019,6.916994037
4817,3/25/2019,6.89151183
4818,3/26/2019,6.865269946
4819,3/27/2019,6.838389247
4820,3/28/2019,6.810990592
4821,3/29/2019,6.783194845
4822,3/30/2019,6.755122864
4823,3/31/2019,6.726895513
4824,4/1/2019,6.698633651
4825,4/2/2019,6.670458139
4826,4/3/2019,6.642489839
4827,4/4/2019,6.614849613
4828,4/5/2019,6.58765832
4829,4/6/2019,6.561036822
4830,4/7/2019,6.53510598
4831,4/8/2019,6.509986655
4832,4/9/2019,6.485799708
4833,4/10/2019,6.462666001
4834,4/11/2019,6.440706394
4835,4/12/2019,6.420041748
4836,4/13/2019,6.400792925
4837,4/14/2019,6.383080785
4838,4/15/2019,6.36702619
4839,4/16/2019,6.35275
4840,4/17/2019,6.340338368
4841,4/18/2019,6.32973861
4842,4/19/2019,6.320863332
4843,4/20/2019,6.313625142
4844,4/21/2019,6.307936645
4845,4/22/2019,6.30371045
4846,4/23/2019,6.300859163
4847,4/24/2019,6.299295391
4848,4/25/2019,6.298931741
4849,4/26/2019,6.299680819
4850,4/27/2019,6.301455233
4851,4/28/2019,6.304167589
4852,4/29/2019,6.307730495
4853,4/30/2019,6.312056556
4854,5/1/2019,6.317058381
4855,5/2/2019,6.322648576
4856,5/3/2019,6.328739747
4857,5/4/2019,6.335244503
4858,5/5/2019,6.342075448
4859,5/6/2019,6.349145192
4860,5/7/2019,6.356366339
4861,5/8/2019,6.363651498
4862,5/9/2019,6.370913275
4863,5/10/2019,6.378064277
4864,5/11/2019,6.385017111
4865,5/12/2019,6.391684384
4866,5/13/2019,6.397978702
4867,5/14/2019,6.403812673
4868,5/15/2019,6.409098903
4869,5/16/2019,6.41375
4870,5/17/2019,6.417698271
4871,5/18/2019,6.420954827
4872,5/19/2019,6.42355048
4873,5/20/2019,6.425516044
4874,5/21/2019,6.426882329
4875,5/22/2019,6.427680149
4876,5/23/2019,6.427940315
4877,5/24/2019,6.42769364
4878,5/25/2019,6.426970936
4879,5/26/2019,6.425803014
4880,5/27/2019,6.424220689
4881,5/28/2019,6.42225477
4882,5/29/2019,6.419936072
4883,5/30/2019,6.417295405
4884,5/31/2019,6.414363583
4885,6/1/2019,6.411171417
4886,6/2/2019,6.407749719
4887,6/3/2019,6.404129303
4888,6/4/2019,6.400340979
4889,6/5/2019,6.396415561
4890,6/6/2019,6.39238386
4891,6/7/2019,6.388276689
4892,6/8/2019,6.38412486
4893,6/9/2019,6.379959185
4894,6/10/2019,6.375810476
4895,6/11/2019,6.371709546
4896,6/12/2019,6.367687206
4897,6/13/2019,6.36377427
4898,6/14/2019,6.360001548
4899,6/15/2019,6.356399854
4900,6/16/2019,6.353
4901,6/17/2019,6.349826198
4902,6/18/2019,6.346876263
4903,6/19/2019,6.344141409
4904,6/20/2019,6.341612851
4905,6/21/2019,6.339281804
4906,6/22/2019,6.337139483
4907,6/23/2019,6.335177103
